State,Search Volume
California,90500.0
Texas,74000.0
Florida,49500.0
Georgia,33100.0
New York,33100.0
North Carolina,22200.0
Illinois,22200.0
Pennsylvania,22200.0
Virginia,18100.0
New Jersey,18100.0
Maryland,14800.0
Arizona,14800.0
Washington,14800.0
Ohio,14800.0
Colorado,12100.0
Massachusetts,12100.0
Michigan,12100.0
South Carolina,9900.0
Indiana,9900.0
Tennessee,9900.0
Nevada,8100.0
Minnesota,8100.0
Wisconsin,8100.0
Missouri,8100.0
Utah,6600.0
Connecticut,6600.0
Oregon,6600.0
Louisiana,6600.0
Alabama,6600.0
Oklahoma,5400.0
Kentucky,5400.0
Kansas,3600.0
Mississippi,3600.0
Arkansas,3600.0
Iowa,3600.0
"Washington, D.C.",2900.0
Hawaii,2900.0
Idaho,2900.0
Nebraska,2900.0
New Mexico,2900.0
Delaware,2400.0
Rhode Island,1900.0
New Hampshire,1900.0
Maine,1600.0
Alaska,1300.0
Montana,1300.0
West Virginia,1300.0
South Dakota,1000.0
North Dakota,880.0
Vermont,720.0
Wyoming,590.0
